KIC,d_est,d_lo,d_hi,E(B-V),A_r,A_J,A_K,r,J,K
5513833,107.6596664,106.167387,109.1937242,0.02130088,0.05289009,0.01384557,0.00342944,15.659,12.419,11.574
5515259,107.6786497,106.9598134,108.407039,0.01237262,0.03072123,0.00804221,0.00199199,17.313,13.708,12.821
5602310,148.8864674,145.9748342,151.914456,0.02928555,0.07271603,0.01903561,0.00471497,15.926,12.602,11.731
5603484,108.7128678,108.2675357,109.1618129,0.00844546,0.02097008,0.00548955,0.00135972,15.845,12.651,11.811
5603847,80.02534379,79.54084291,80.51567687,0.00452568,0.01123726,0.00294169,0.00072863,17.452,13.706,13.007
5649085,124.7868991,123.9608535,125.623829,0.01146973,0.02847935,0.00745533,0.00184663,16.312,13.103,12.314
5791720,70.69218606,70.50724613,70.87808142,0.00644074,0.01599236,0.00418648,0.00103696,14.519,11.249,10.432
5818116,123.8474434,123.2765562,124.4235478,0.01161661,0.02884405,0.0075508,0.00187027,15.735,12.675,11.894
5859112,95.37086949,94.94291445,95.80263076,0.00875984,0.02175069,0.0056939,0.00141033,16.967,12.877,11.973
5859124,154.2326954,152.8969474,155.5915644,0.02597676,0.06450029,0.01688489,0.00418226,16.899,13.641,12.798
5868793,78.8906351,78.45338986,79.33269374,0.00746427,0.01853378,0.00485177,0.00120175,17.041,13.285,12.435
5868814,263.8819971,258.1922155,269.8235066,0.04102025,0.10185329,0.02666316,0.00660426,17.253,14.16,13.327
5943385,42.71122929,42.62246343,42.80035907,0.00230155,0.00571476,0.00149601,0.00037055,15.617,11.411,10.513
5944764,159.5305821,158.3257463,160.753564,0.01665458,0.04135332,0.01082547,0.00268139,16.704,13.276,12.416
5953947,111.1773617,110.590639,111.7702311,0.01438229,0.03571122,0.00934849,0.00231555,16.235,12.946,12.15
6037009,133.1597033,132.4282208,133.8991661,0.01912646,0.04749099,0.0124322,0.00307936,16.368,13.175,12.359
6102091,136.951123,135.5536359,138.3772001,0.01500344,0.03725354,0.00975224,0.00241555,17.468,13.772,12.928
6102845,125.2987713,124.0553515,126.5669156,0.01318988,0.03275047,0.00857342,0.00212357,17.311,13.753,13.051
6117602,20.94091801,20.91391977,20.9679848,0.00108694,0.00269888,0.00070651,0.000175,16.069,11.259,10.374
6183400,74.07921736,73.80164469,74.35884845,0.00331394,0.0082285,0.00215406,0.00053354,15.95,12.633,11.847
6183736,140.7036506,139.2818299,142.1542705,0.03339043,0.08290844,0.02170378,0.00537586,17.162,13.41,12.553
6187812,269.0050402,265.4927041,272.6098482,0.02544438,0.06317841,0.01653885,0.00409655,16.474,13.105,12.192
6214037,218.7666755,212.9663208,224.8858953,0.02264107,0.05621777,0.01471669,0.00364521,18.809,15.191,14.385
6233711,57.61793044,57.47633843,57.76020933,0.00476225,0.01182466,0.00309546,0.00076672,16.594,12.352,11.521
6264426,150.4940311,149.2620939,151.7461046,0.01546143,0.03839073,0.01004993,0.00248929,16.457,13.24,12.51
6268411,95.28640006,94.81278081,95.76468977,0.0071616,0.01778225,0.00465504,0.00115302,16.657,13.113,12.27
6424725,154.6524385,152.6073937,156.752032,0.01712971,0.04253307,0.01113431,0.00275788,16.767,13.56,12.712
6444896,92.19130078,91.6487779,92.74016922,0.00691062,0.01715907,0.0044919,0.00111261,17.11,13.379,12.589
6605595,85.36599586,85.06597605,85.66810157,0.00624383,0.01550342,0.00405849,0.00100526,15.169,11.904,10.993
6665209,164.5253214,161.011987,168.1925379,0.01774579,0.04406281,0.01153477,0.00285707,19.469,15.154,14.376
6672297,75.36623362,75.07320985,75.6615128,0.00547038,0.01358296,0.00355575,0.00088073,16.584,12.661,11.855
6676217,149.3170227,148.0970516,150.5568958,0.01039555,0.02581215,0.00675711,0.00167368,16.99,13.76,12.984
6693042,130.4264113,129.3637285,131.5063816,0.01462463,0.03631295,0.00950601,0.00235457,15.475,12.202,11.397
6752213,163.992468,162.4422961,165.5719732,0.02309661,0.05734887,0.01501279,0.00371855,17.349,14.035,13.178
6761765,142.0056995,140.7347617,143.2993846,0.01690966,0.04198669,0.01099128,0.00272245,17.307,13.807,12.926
6768613,185.7185137,182.2627122,189.3054617,0.01594075,0.03958088,0.01036149,0.00256646,17.918,14.667,13.872
6776555,108.690007,108.2110873,109.1731086,0.01436338,0.03566428,0.0093362,0.0023125,16.235,12.926,12.236
6783223,89.12533856,88.2212915,90.04776861,0.00429004,0.01065216,0.00278852,0.0006907,18.713,14.3,13.354
6784339,114.391781,113.3019455,115.502405,0.01330489,0.03303604,0.00864818,0.00214209,18.444,14.204,13.434
6805049,224.584577,221.5901833,227.6595225,0.04866729,0.12084088,0.03163374,0.00783543,16.896,13.631,12.789
6837702,250.198834,234.3020557,268.368103,0.02259876,0.05611273,0.01468919,0.0036384,16.478,13.16,12.32
6847171,170.1887386,169.1795323,171.2098407,0.01835519,0.04557595,0.01193088,0.00295519,16.1,12.851,11.952
