KIC,d_est,d_lo,d_hi,E(B-V),A_r,A_J,A_K,r,J,K
5941130,261.3808921,256.7704403,266.1568628,0.04854946,0.12054831,0.03155715,0.00781646,17.318,14.166,13.272
5966669,71.0569142,70.69585527,71.42161379,0.00507174,0.01259314,0.00329663,0.00081655,17.287,13.447,12.626
6029542,124.0940742,123.1409448,125.0618063,0.00918281,0.02280093,0.00596883,0.00147843,16.917,13.522,12.785
6060042,124.3920578,123.6116039,125.1822518,0.01710384,0.04246884,0.0111175,0.00275372,15.995,12.73,11.923
6099502,57.99153438,57.83099185,58.15295483,0.00135108,0.00335474,0.0008782,0.00021752,15.543,11.836,10.961
6110166,149.097876,147.5236783,150.7054193,0.01666827,0.04138731,0.01083437,0.00268359,16.431,13.131,12.298
6181143,92.31031325,91.80490495,92.821217,0.01056203,0.02622551,0.00686532,0.00170049,15.4,12.166,11.298
6201164,41.38298962,41.2705509,41.49603174,0.00180038,0.00447034,0.00117025,0.00028986,16.45,12.52,11.69
6209585,74.53333544,74.22438272,74.84482478,0.00770417,0.01912945,0.00500771,0.00124037,17.006,13.343,12.484
6365513,82.92541951,82.33450919,83.52471974,0.00762388,0.01893009,0.00495552,0.00122744,14.633,11.22,10.394
6423922,85.56321128,85.28705079,85.84113402,0.01103045,0.02738862,0.00716979,0.0017759,15.649,12.239,11.383
6431170,266.6841663,242.6211204,295.956638,0.03474534,0.08627267,0.02258447,0.005594,20.05,16.321,15.701
6460812,147.6936746,145.7662056,149.6718666,0.02096202,0.0520487,0.01362531,0.00337489,16.056,12.779,11.946
6507276,133.95004,133.2308224,134.6769252,0.00929331,0.0230753,0.00604065,0.00149622,16.218,13.221,12.441
6510539,188.9513346,186.909001,191.0379795,0.01880825,0.04670088,0.01222536,0.00302813,17.261,14.051,13.175
6580019,121.275392,119.3717341,123.2396306,0.01379572,0.03425476,0.00896722,0.00222111,18.895,14.939,14.014
6751111,94.86148377,93.12253032,96.66541549,0.00806319,0.0200209,0.00524107,0.00129817,17.35,13.259,12.39
6784660,72.26553207,72.03151556,72.50104689,0.00590932,0.01467284,0.00384106,0.0009514,16.311,12.704,11.942
6925256,132.3645282,131.3748295,133.3689818,0.01393258,0.03459459,0.00905618,0.00224315,16.192,12.987,12.148
7033670,18.13065828,18.1141175,18.14722875,0.00109194,0.00271128,0.00070976,0.0001758,14.611,10.439,9.611
7094638,106.768931,106.0659947,107.4810785,0.01446916,0.03592693,0.00940496,0.00232954,16.745,13.272,12.49
7094777,123.6821856,122.9312678,124.4421683,0.01889961,0.04692773,0.01228475,0.00304284,15.927,12.481,11.601
7100573,207.1346484,205.0390246,209.272771,0.01621829,0.04027002,0.01054189,0.00261114,16.741,13.451,12.596
7265390,103.0515482,102.4214748,103.6892821,0.00561984,0.01395405,0.00365289,0.00090479,16.872,13.312,12.507
7298281,79.79607443,79.46932085,80.12547797,0.00815178,0.02024088,0.00529866,0.00131244,15.58,12.211,11.385
7341517,129.6664999,128.2697559,131.0934424,0.01415763,0.03515339,0.00920246,0.00227938,17.965,14.213,13.387
7350394,116.3401087,115.7007841,116.9864109,0.01235224,0.03067062,0.00802896,0.00198871,16.346,13.09,12.256
7435842,37.06731696,36.95779063,37.1774828,0.00181531,0.0045074,0.00117995,0.00029226,17.944,13.005,12.086
7668390,155.6256181,153.9789301,157.3072647,0.00913605,0.02268482,0.00593843,0.0014709,17.674,13.914,13.141
7676799,142.0899408,140.6332609,143.5765635,0.01920754,0.04769232,0.0124849,0.00309241,16.809,13.31,12.551
7678417,122.1799454,121.0549982,123.3256168,0.01714535,0.0425719,0.01114448,0.0027604,15.571,12.33,11.506
7691437,26.75989061,26.70409826,26.81591243,0.00311725,0.00774013,0.00202621,0.00050188,18.057,12.708,11.787
7731089,166.6651128,165.1849141,168.1715974,0.01171071,0.02907769,0.00761196,0.00188542,17.135,13.964,13.17
7731963,247.7419384,243.3826343,252.2573536,0.01601379,0.03976225,0.01040896,0.00257822,17.426,14.151,13.329
7739468,201.036208,198.7012237,203.4257191,0.01222711,0.03035991,0.00794762,0.00196856,17.318,14.041,13.182
7757418,169.5349467,168.1868971,170.9043892,0.01543441,0.03832363,0.01003236,0.00248494,16.828,13.483,12.708
7799941,69.02302291,68.57336001,69.47851556,0.00392244,0.00973941,0.00254958,0.00063151,19.522,13.858,12.86
7820535,49.41940701,49.29174536,49.54771984,0.00226749,0.00563019,0.00147387,0.00036507,15.352,11.584,10.777
